               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.093167,             0.13223,                   0,             0.90907,             0.82965,             0.89447,              0.4117,            0.077933,             0.13616,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.092756,             0.12624,                   0,              0.8888,             0.77593,             0.85636,             0.34379,            0.082829,             0.14027,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.092447,             0.13018,                   0,             0.90546,             0.81743,             0.89583,             0.39736,            0.078848,             0.13511,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.089521,             0.12465,                   0,             0.90307,             0.82261,             0.89623,             0.38761,            0.080286,             0.13766,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.092378,             0.13166,                   0,             0.90097,             0.81535,             0.88773,             0.40604,            0.078165,             0.13938,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.090736,             0.13151,                   0,             0.86659,              0.7749,             0.86057,             0.35387,            0.082948,             0.14573,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.090073,              0.1269,                   0,             0.90154,             0.82639,             0.89389,             0.39547,            0.078987,             0.13679,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.092502,             0.12832,                   0,             0.90839,             0.83195,             0.89886,             0.40801,            0.079227,             0.13647,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.092961,             0.13317,                   0,             0.90005,             0.81432,             0.88634,             0.38863,            0.078622,             0.13822,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.090436,              0.1287,                   0,             0.91299,             0.81328,             0.89302,             0.36197,            0.080995,             0.13584,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.092977,             0.13408,                   0,             0.92346,             0.85788,             0.91496,             0.41622,            0.077193,             0.13534,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.090177,              0.1277,                   0,             0.89981,             0.80394,             0.87853,             0.34687,            0.082844,             0.13889,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.091101,             0.12813,                   0,             0.91323,             0.82975,             0.89413,             0.36405,             0.07915,             0.13557,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.091027,             0.12953,                   0,             0.89755,             0.83921,             0.89678,             0.40446,            0.078102,             0.13658,                   0,            0.005545,            0.005545,            0.005545
                  92,             0.08921,             0.12455,                   0,             0.90144,             0.81432,             0.87953,             0.33819,            0.082505,             0.13961,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.089927,             0.12859,                   0,             0.90945,             0.81264,             0.88796,             0.39645,            0.078552,             0.13921,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.089087,             0.12529,                   0,             0.89647,              0.8112,             0.88736,             0.37213,            0.079199,             0.13924,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.089645,             0.12519,                   0,             0.88979,              0.8361,             0.89543,             0.38837,            0.079605,             0.14015,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.091361,              0.1324,                   0,               0.908,             0.83951,             0.90216,             0.41217,            0.077392,             0.13633,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.090968,             0.13477,                   0,             0.90883,             0.82884,             0.89591,             0.39051,            0.080216,             0.13914,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.090741,             0.13093,                   0,             0.91667,             0.83298,             0.89735,              0.4057,            0.077203,             0.13617,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,             0.09064,             0.13108,                   0,             0.90224,             0.84751,             0.89517,              0.4015,            0.078207,             0.13661,                   0,            0.005149,            0.005149,            0.005149
                 100,             0.08865,             0.12259,                   0,             0.91714,              0.8278,             0.89658,              0.3918,            0.078708,             0.13557,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.089452,             0.12583,                   0,             0.89867,              0.8464,             0.89928,             0.40315,             0.07787,             0.13601,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.090701,                0.13,                   0,              0.9266,             0.83299,             0.90879,              0.4081,            0.077493,             0.13636,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.091775,             0.13223,                   0,             0.91746,             0.85322,             0.91137,             0.45226,            0.076111,             0.13254,                   0,            0.004951,            0.004951,            0.004951
                 104,             0.08874,             0.12592,                   0,             0.92204,             0.83433,              0.9066,             0.41359,            0.078174,             0.13552,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.089729,             0.13315,                   0,             0.88969,             0.84855,             0.89917,             0.40264,            0.078127,             0.13419,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.089066,             0.12174,                   0,             0.90491,              0.8278,              0.8851,             0.37126,            0.079866,             0.13799,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.087945,             0.12343,                   0,              0.9058,             0.82676,             0.88565,             0.38765,            0.078756,             0.13923,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.087856,             0.12172,                   0,             0.89602,             0.84027,             0.89151,             0.38786,            0.078819,             0.13678,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.088038,             0.12236,                   0,             0.90925,             0.85222,             0.90559,             0.39568,            0.078063,              0.1357,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.089602,             0.13478,                   0,              0.9254,              0.8235,             0.89759,             0.40672,            0.078631,             0.13878,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.089031,             0.12319,                   0,             0.90592,             0.84906,             0.90939,             0.40211,            0.077649,             0.13557,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.089361,             0.12706,                   0,             0.91446,             0.85393,             0.91586,             0.41445,            0.078634,             0.13555,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.088277,             0.12644,                   0,             0.90626,             0.84025,             0.90365,             0.40179,            0.078178,             0.13669,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.087736,             0.12393,                   0,             0.91927,             0.81502,             0.89365,             0.39865,            0.078156,             0.14041,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.091437,             0.13649,                   0,             0.89144,             0.84232,             0.89727,             0.38084,            0.078222,             0.13567,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.088053,             0.12342,                   0,             0.91387,              0.8112,             0.89564,             0.36691,             0.07961,             0.13808,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.088454,             0.12991,                   0,             0.89583,             0.81179,             0.88658,             0.37697,            0.079996,             0.14244,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.088312,             0.12608,                   0,             0.91277,             0.81408,             0.89878,             0.39233,             0.07847,             0.14356,                   0,           0.0042085,           0.0042085,           0.0042085
